"ToiletID","URL","Name","Address1","Town","State","Postcode","AddressNote","Male","Female","Unisex","FacilityType","ToiletType","AccessLimited","PaymentRequired","KeyRequired","AccessNote","Parking","ParkingNote","AccessibleMale","AccessibleFemale","AccessibleUnisex","AccessibleNote","MLAK","ParkingAccessible","AccessibleParkingNote","IsOpen","OpeningHoursSchedule","OpeningHoursNote","BabyChange","Showers","DrinkingWater","SharpsDisposal","SanitaryDisposal","IconURL","IconAltText","Notes","Status","Latitude","Longitude"
"63","https://toiletmap.gov.au/toilet/63","Pease Park 3","Ash Street","Goondi Hill","Queensland","4860","","True","True","False","Park or reserve","","False","False","False","","False","","True","True","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-17.52731309","146.01274460"
"65","https://toiletmap.gov.au/toilet/65","Alan Anderson Park","180 Lawnbrook Road West","Walliston","Western Australia","6076","Toilet is located in the park","True","True","False","Park or reserve","Septic","False","False","False","","True","","True","True","False","","False","False","","AllHours","","","False","False","True","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-32.00573662","116.08273845"
"67","https://toiletmap.gov.au/toilet/67","Pickering Brook","251 Pickering Brook Road","Pickering Brook","Western Australia","6076","Located in between Pickering Brook Primary School and Bartons Mill Chapel Historic Site at the rear of the school car park","True","True","False","Other","Septic","False","False","False","","True","","False","False","True","","False","True","","AllHours","","","True","False","True","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-32.03431628","116.13176399"
"68","https://toiletmap.gov.au/toilet/68","Kalamunda Bus Station","20-22 Meade Street","Kalamunda","Western Australia","6076","Nestled neatly behind the Jack Healey Seniors Centre in Meade Street - the Police Station is on one side and the bus station on the other","True","True","False","Bus station","Septic","False","False","False","","True","","False","False","False","","False","True","","AllHours","","","False","False","True","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-31.97395651","116.05710895"
"69","https://toiletmap.gov.au/toilet/69","Fleming Reserve","39 Sorensen Road","High Wycombe","Western Australia","6057","","True","True","False","Sporting facility","Sewerage","False","False","False","","True","","False","False","True","","False","True","","AllHours","","","True","False","True","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-31.94469571","115.99654450"
"70","https://toiletmap.gov.au/toilet/70","Gooseberry Hill","42 Ledger Road","Gooseberry Hill","Western Australia","6076","Located next to Goosberry Hill Hall adjacent to Gooseberry Hill Reserve","True","True","False","Park or reserve","Septic","False","False","False","Drive up the driveway to Gooseberry Hill Hall - toilets are on left hand side","True","","False","False","False","","False","True","","AllHours","","","False","False","True","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-31.95597321","116.05786734"
"71","https://toiletmap.gov.au/toilet/71","Hedley Jorgensen Park","Crescent Road","Kalamunda","Western Australia","6076","","True","True","False","Park or reserve","Septic","False","False","False","","True","","True","True","False","","False","True","","AllHours","","","False","False","True","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","Located in former golf course which has been turned into an off leash dog exercise area - great location with BBQ facilities nearby","Verified","-31.97223654","116.06496799"
"72","https://toiletmap.gov.au/toilet/72","Kalamunda Library","8 Williams Street","Kalamunda","Western Australia","6076","The toilets are located on the northern end of the Kalamunda Library in between Williams Road and Railway Road adjacent to the historic Kalamunda History Village","True","True","False","Other","Septic","False","False","False","","True","","True","True","False","","False","True","","Variable","May-Sep 6am-6pm; Oct-Apr 6am-9pm","Facilities open during Library hours","False","False","True","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-31.97119288","116.06000933"
"74","https://toiletmap.gov.au/toilet/74","Lesmurdie Falls","Falls Road","Lesmurdie","Western Australia","6076","","True","True","False","Park or reserve","Septic","False","False","False","","True","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-31.99553312","116.03372231"
"76","https://toiletmap.gov.au/toilet/76","Maida Vale Reserve","40B Acacia Road","Maida Vale","Western Australia","6057","Located adjacent to the Maida Vale tennis Club and opposite the Kalamunda Soccer Club","True","True","False","Sporting facility","Septic","False","False","False","","True","","False","False","False","","False","True","","AllHours","","","False","False","True","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-31.94907811","116.02589133"
